iso3,ilostat_year,sex,isco_major,employment_value,employment_share
BRN,2024,SEX_F,6,0.318,0.0035788241649410283
BRN,2024,SEX_F,7,2.347,0.0264135230035113
BRN,2024,SEX_F,8,0.321,0.0036125866570631136
BRN,2024,SEX_F,9,11.524,0.12969298640496985
BRN,2024,SEX_M,0,5.58,0.04168440868649291
BRN,2024,SEX_M,1,9.328,0.06968318355333437
BRN,2024,SEX_M,2,17.255,0.12890044299022133
BRN,2024,SEX_M,3,21.548,0.16097054451192636
BRN,2024,SEX_M,4,8.194,0.061211835981563247
BRN,2024,SEX_M,5,25.319,0.18914113683392722
BRN,2024,SEX_M,6,1.716,0.012819076219717174
BRN,2024,SEX_M,7,17.527,0.13093237115558445
BRN,2024,SEX_M,8,7.597,0.05675205247155674
BRN,2024,SEX_M,9,19.799,0.14790494759567618
BTN,2024,SEX_F,1,19.023,0.1318340898853044
BTN,2024,SEX_F,2,10.218,0.07081326449287917
BTN,2024,SEX_F,3,5.176,0.035870958799681205
BTN,2024,SEX_F,4,5.826,0.04037561939083128
BTN,2024,SEX_F,5,11.626,0.08057105235801655
BTN,2024,SEX_F,6,75.833,0.5255414255518208
BTN,2024,SEX_F,7,10.193,0.07064000831629647
BTN,2024,SEX_F,8,0.559,0.003874008108389064
BTN,2024,SEX_F,9,5.841,0.040479573096780894
BTN,2024,SEX_M,0,3.3,0.01471276666889587
BTN,2024,SEX_M,1,23.204,0.10345304175304842
BTN,2024,SEX_M,2,20.452,0.09118348603401769
BTN,2024,SEX_M,3,16.504,0.07358166700104772
BTN,2024,SEX_M,4,3.986,0.017771238770369378
BTN,2024,SEX_M,5,20.387,0.09089368911478185
BTN,2024,SEX_M,6,76.985,0.3432310127287723
BTN,2024,SEX_M,7,22.64,0.10093849617690985
BTN,2024,SEX_M,8,25.033,0.11160748121893041
BTN,2024,SEX_M,9,11.804,0.052627120533226324
BWA,2024,SEX_F,1,22.943,0.0551311657010763
BWA,2024,SEX_F,2,45.699,0.1098129774385863
BWA,2024,SEX_F,3,29.468,0.070810495178456
BWA,2024,SEX_F,4,21.177,0.05088753415210272
BWA,2024,SEX_F,5,105.234,0.2528733422563336
BWA,2024,SEX_F,6,51.58,0.12394479914839014
BWA,2024,SEX_F,7,14.404,0.03461227000646397
BWA,2024,SEX_F,8,6.564,0.01577304500988819
BWA,2024,SEX_F,9,119.084,0.28615437110870284
BWA,2024,SEX_M,0,2.391,0.0053884361590884515
BWA,2024,SEX_M,1,25.524,0.05752172502073343
BWA,2024,SEX_M,2,25.788,0.058116684094760764
BWA,2024,SEX_M,3,29.08,0.0655356434572531
BWA,2024,SEX_M,4,11.034,0.024866584934915087
BWA,2024,SEX_M,5,61.656,0.13894998737965603
BWA,2024,SEX_M,6,95.877,0.21607155735044895
BWA,2024,SEX_M,7,57.354,0.1292548588324379
BWA,2024,SEX_M,8,31.89,0.07186835178307432
BWA,2024,SEX_M,9,103.134,0.2324261709876321
CHL,2025,SEX_F,1,141.022,0.03484209850128228
CHL,2025,SEX_F,2,866.794,0.21415752101317864
CHL,2025,SEX_F,3,640.812,0.15832448004427468
CHL,2025,SEX_F,4,238.564,0.05894165723688437
CHL,2025,SEX_F,5,1162.653,0.28725496978351855
CHL,2025,SEX_F,6,32.233,0.0079637599877454
CHL,2025,SEX_F,7,176.98,0.043726188770241085
CHL,2025,SEX_F,8,54.461,0.013455599314137754
CHL,2025,SEX_F,9,733.941,0.18133372534873723
CHL,2025,SEX_M,1,311.777,0.05869192073784839
CHL,2025,SEX_M,2,763.25,0.14368156888789996
CHL,2025,SEX_M,3,561.199,0.10564553262799942
CHL,2025,SEX_M,4,237.832,0.04477179808941634
CHL,2025,SEX_M,5,825.083,0.15532161140220785
CHL,2025,SEX_M,6,189.776,0.035725271427802296
CHL,2025,SEX_M,7,930.126,0.17509592262486318
CHL,2025,SEX_M,8,693.962,0.13063812500305905
CHL,2025,SEX_M,9,799.089,0.1504282491989035
CIV,2022,SEX_F,0,7.975,0.0014901389239235028
CIV,2022,SEX_F,2,39.481,0.007377075216981044
CIV,2022,SEX_F,3,103.122,0.019268477255528462
CIV,2022,SEX_F,4,112.904,0.021096256434690805
CIV,2022,SEX_F,5,2341.926,0.43759186075842926
CIV,2022,SEX_F,6,2336.245,0.4365303586610237
CIV,2022,SEX_F,7,197.055,0.03681997813840074
CIV,2022,SEX_F,9,213.142,0.03982585461102235
CIV,2022,SEX_M,0,73.16,0.011922459038139809
CIV,2022,SEX_M,1,13.062,0.0021286380529822605
CIV,2022,SEX_M,2,202.766,0.033043593894579774
CIV,2022,SEX_M,3,179.659,0.02927798070438983
CIV,2022,SEX_M,4,172.42,0.028098283042045733
CIV,2022,SEX_M,5,1079.33,0.17589212293104756
CIV,2022,SEX_M,6,3065.065,0.49949578884275553
CIV,2022,SEX_M,7,832.073,0.13559808992949843
CIV,2022,SEX_M,8,129.688,0.02113449791878452
CIV,2022,SEX_M,9,389.095,0.06340854564577651
CMR,2021,SEX_F,0,11.897,0.0026975635991942455
CMR,2021,SEX_F,1,975.03,0.2210814017081924
CMR,2021,SEX_F,2,166.916,0.03784706444676025
CMR,2021,SEX_F,3,192.394,0.043624027158391
CMR,2021,SEX_F,4,107.983,0.024484408685533515
CMR,2021,SEX_F,5,386.476,0.08763079680273979
CMR,2021,SEX_F,6,1892.937,0.4292105528089398
CMR,2021,SEX_F,7,336.943,0.07639952692303158
CMR,2021,SEX_F,8,3.948,0.0008951820702377811
CMR,2021,SEX_F,9,335.752,0.07612947579697961
CMR,2021,SEX_M,0,64.006,0.013223366555993332
CMR,2021,SEX_M,1,713.748,0.14745729201336014
CMR,2021,SEX_M,2,287.728,0.05944337737747788
CMR,2021,SEX_M,3,192.497,0.039769059024607825
CMR,2021,SEX_M,4,146.304,0.030225782279912013
