iso3,country_name,income_level,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share
JPN,Japan,High income,23821.0,14278.999999999998,5159.0,7835.0,1285.0,0.5994290751857604,0.21657361151924773,0.3289114646740271,0.05394399899248562
KAZ,Kazakhstan,Upper middle income,23822.0,11929.0,4284.0,6705.999999999999,939.0,0.5007556040634707,0.17983376710603644,0.28150449164637725,0.039417345311057006
KEN,Kenya,Lower middle income,23822.0,8797.0,2815.0,5464.0,518.0,0.3692804970195617,0.11816807992611872,0.22936781126689615,0.02174460582654689
KGZ,Kyrgyz Republic,Lower middle income,23822.0,9477.0,3270.9999999999995,4967.999999999999,1238.0,0.39782553941734533,0.13731004953404413,0.20854672151792458,0.05196876836537654
KHM,Cambodia,Lower middle income,23822.0,8236.0,2668.0,4665.0,903.0,0.3457308370413903,0.11199731340777433,0.19582738644950046,0.03790613718411552
KOR,"Korea, Rep.",High income,23818.0,14291.999999999998,5267.999999999999,7691.999999999999,1332.0,0.6000503820639852,0.2211772608951213,0.32294903014526827,0.0559240910235956
KWT,Kuwait,High income,23822.0,14321.0,4749.0,7197.0,2374.9999999999995,0.6011669884980271,0.19935353874569725,0.3021156913777181,0.09969775837461169
LAO,Lao PDR,Lower middle income,23822.0,5518.999999999999,2167.9999999999995,2808.9999999999995,541.9999999999999,0.2316766014608345,0.09100831164469816,0.11791621190496178,0.02275207791117454
LBY,Libya,Upper middle income,23822.0,7963.999999999999,2885.9999999999995,4325.0,753.0,0.33431282008227686,0.12114851817647551,0.18155486525060868,0.031609436655192676
LKA,Sri Lanka,Lower middle income,23822.0,10822.999999999998,3270.9999999999995,5913.0,1638.9999999999998,0.4543279321635462,0.13731004953404413,0.24821593485013851,0.0688019477793636
MAR,Morocco,Lower middle income,23822.0,10533.999999999998,3422.9999999999995,6308.0,802.9999999999999,0.4421962891444882,0.1436907060700193,0.2647972462429687,0.03370833683150029
MDG,Madagascar,Low income,23822.0,4068.0,1828.9999999999998,2092.9999999999995,146.0,0.17076651834438755,0.07677776844933254,0.08785996138023673,0.006128788514818235
MEX,Mexico,Upper middle income,23821.0,12369.999999999998,4456.0,6932.999999999999,980.9999999999999,0.5192897023634607,0.18706183619495403,0.29104571596490486,0.04118215020360186
MLI,Mali,Low income,23822.0,3211.9999999999995,1505.9999999999998,1608.9999999999998,97.0,0.13483334732600116,0.06321887331038535,0.06754260767357903,0.0040718663420367725
MMR,Myanmar,Lower middle income,23822.0,6087.999999999999,2571.9999999999995,3302.9999999999995,212.99999999999997,0.25556208546721515,0.10796742506926368,0.138653345646881,0.008941314751070437
MOZ,Mozambique,Low income,23822.0,4636.0,1987.0,2464.9999999999995,184.0,0.19461002434724203,0.08341029300646462,0.10347577869196539,0.007723952648812022
MWI,Malawi,Low income,23822.0,3955.9999999999995,1393.0,2157.0,405.99999999999994,0.16606498194945846,0.05847535891193015,0.0905465536059105,0.01704306943161783
MYS,Malaysia,Upper middle income,23822.0,12500.0,4515.999999999999,6957.0,1027.0,0.5247250440769037,0.18957266392410374,0.2920409705314415,0.043111409621358406
NER,Niger,Low income,23822.0,2226.0,1159.0,992.9999999999999,74.0,0.09344303584921501,0.04865250608681051,0.04168415750146923,0.00310637226093527
NGA,Nigeria,Lower middle income,23822.0,7893.999999999999,2670.0,4751.0,472.99999999999994,0.33137435983544616,0.11208126941482663,0.19943749475274955,0.019855595667870034
