iso3,ilostat_year,country_name,income_level,matched_weight,employment_weighted_occ_exposed_share,employment_weighted_occ_sub_only_share,employment_weighted_occ_both_share,employment_weighted_occ_aug_only_share,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share,employment_weighting_adjustment
MLI,2024,Mali,Low income,0.9956390388297548,0.08818890925192105,0.04373681415198847,0.04368124810348925,0.0007708469964433129,0.13483334732600116,0.06321887331038535,0.06754260767357903,0.0040718663420367725,-0.04664443807408011
MMR,2020,Myanmar,Lower middle income,0.9996080311811621,0.20351184545736556,0.10277965708791814,0.09750925609511721,0.003222932274330217,0.25556208546721515,0.10796742506926368,0.138653345646881,0.008941314751070437,-0.05205024000984959
MOZ,2022,Mozambique,Low income,0.9987408424626766,0.11161868168977357,0.043309229403307184,0.06529246348378007,0.003016988802686298,0.19461002434724203,0.08341029300646462,0.10347577869196539,0.007723952648812022,-0.08299134265746846
MWI,2024,Malawi,Low income,0.9962105162076355,0.11888956621293412,0.04579544467213741,0.062241711212878886,0.010852410327917816,0.16606498194945846,0.05847535891193015,0.0905465536059105,0.01704306943161783,-0.04717541573652434
NER,2022,Niger,Low income,0.9989047511590096,0.05081425610285682,0.028729481928605832,0.019993317768003657,0.002091456406247332,0.09344303584921501,0.04865250608681051,0.04168415750146923,0.00310637226093527,-0.04262877974635819
NLD,2024,Netherlands,High income,0.9972821844657769,0.5921271693909834,0.23207508017726844,0.3050555468904981,0.05499654232321685,0.5885563158557574,0.21665757105075353,0.31270727509340496,0.059191469711599,0.003570853535226015
NOR,2024,Norway,High income,0.997025489060748,0.567478277461854,0.22211437013231575,0.29303621564944693,0.05232769168009136,0.5766098564352279,0.21593485013852742,0.3045084375787087,0.05616656871799176,-0.00913157897337391
NPL,2017,Nepal,Lower middle income,0.9970452004040308,0.1853551732657316,0.08683773966338253,0.09255326316903525,0.005964170433313824,0.24217110234237255,0.08412391906640919,0.14419444211233312,0.013852741163630257,-0.05681592907664096
PAK,2021,Pakistan,Lower middle income,1.0,0.32756359340288327,0.13481730226765015,0.176487704842083,0.01625858629315009,0.3818319200738813,0.12857862480060447,0.22798253715053307,0.02527075812274368,-0.05426832667099801
PER,2025,Peru,Upper middle income,0.9933439129677893,0.4482770116616047,0.20515725356196154,0.22164410637619825,0.021475651723444927,0.4640668289816136,0.1567038871631265,0.27252119889178067,0.0348417429267064,-0.015789817320008892
PHL,2023,Philippines,Lower middle income,0.9980327457292111,0.44420297652395047,0.207701723838484,0.2165871726977062,0.01991407998776029,0.4704474855175888,0.16220300562505247,0.27268911090588527,0.03555536898665099,-0.026244508993638338
PNG,2022,Papua New Guinea,Lower middle income,0.9980092151612654,0.10133961816872257,0.04759618550857886,0.04711348814623032,0.006629944513913389,0.14427839811938542,0.05826546889429938,0.07329359415666191,0.012719335068424147,-0.04293877995066285
POL,2024,Poland,High income,0.9911260360127824,0.5583163976017289,0.23083599709765457,0.28580255283687117,0.041677847667203206,0.5484466834592778,0.20067170445004198,0.2994542401343409,0.04832073887489505,0.00986971414245108
PRI,2020,Puerto Rico (US),High income,0.9993985988032213,0.6388776094297204,0.26339819660480035,0.29313406728612545,0.0823453455387946,0.6245067584585676,0.19817815464696498,0.31512887247082527,0.11119973134077743,0.01437085097115276
PRT,2025,Portugal,High income,0.9956690306176268,0.5552291065112279,0.23771590252263639,0.2789123152454376,0.038600888743154003,0.5462597598858198,0.19704474855175888,0.30043657123667195,0.04877844009738897,0.008969346625408159
PRY,2025,Paraguay,Upper middle income,0.9972309909253733,0.43245398715790684,0.1888517902440423,0.19898431013741452,0.04461788677644998,0.474645285870204,0.15687179917723112,0.24196121232474183,0.07581227436823104,-0.042191298712297154
ROU,2024,Romania,High income,0.9942042479261686,0.5204598166145622,0.239912660937811,0.249367917360664,0.03117923831608718,0.526488120225002,0.19389639828729746,0.2870875661153555,0.04550415582234908,-0.0060283036104398224
