iso3,country_name,income_level,internet_users_pct,log_gdp_per_capita,prep_internet,pizzinelli_mechanical,atlas_ai_mat_mean,atlas_pred_from_mech,residual
LBY,Libya,Upper middle income,88.4989,8.790141871540236,0.884989,0.5563080067005065,0.16432962724708808,0.3710720783938441,-0.20674245114675602
MDG,Madagascar,Low income,20.3671,6.300762860461511,0.20367100000000002,0.12802849304646596,0.06972517140423432,0.05355488090844945,0.01617029049578487
MWI,Malawi,Low income,17.9881,6.25875969943914,0.17988099999999999,0.11307399363528113,0.07264536503430405,0.04246793747208414,0.03017742756221991
MYS,Malaysia,Upper middle income,98.0206,9.382142406133783,0.980206,0.6161618347978074,0.3731542616419174,0.41544641606431054,-0.04229215442239315
MLI,Mali,Low income,35.0921,6.998162086570619,0.35092100000000004,0.22059049549694795,0.046167468851269884,0.1221783538384533,-0.07601088498718342
MEX,Mexico,Upper middle income,81.1832,9.559995419737916,0.811832,0.5103211923489283,0.3679474943752523,0.33697844573414776,0.030969048641104557
MAR,Morocco,Lower middle income,91.0,8.347020521263206,0.91,0.5720300321218241,0.2814604223981765,0.3827280490658464,-0.10126762666766992
MOZ,Mozambique,Low income,19.8434,6.4873442722497,0.198434,0.12473649164182642,0.07904817752648136,0.051114262044378626,0.02793391548210273
MMR,Myanmar,Lower middle income,58.5357,7.21454121671238,0.585357,0.3679580038601479,0.10886618842728153,0.2314334472158277,-0.12256725878854617
NPL,Nepal,Lower middle income,55.7716,7.277461970842152,0.557716,0.3505827487855552,0.12145393277088118,0.21855180772341182,-0.09709787495253064
NLD,Netherlands,High income,97.0068,11.120185377704528,0.9700679999999999,0.6097890430773116,0.45037682724324346,0.41072176568356766,0.0396550615596758
NZL,New Zealand,High income,96.1638,10.803754165531089,0.961638,0.6044899077247985,0.41232154400236853,0.4067931009854357,0.005528443016932838
NIC,Nicaragua,Lower middle income,58.2314,7.954210624423619,0.582314,0.3660451605769097,0.17889121667691896,0.23001530644756962,-0.051124089770650666
NER,Niger,Low income,23.1879,6.6002381265782235,0.231879,0.1457601668333807,0.028780688534348738,0.06670076154960089,-0.03792007301525215
NGA,Nigeria,Lower middle income,39.2136,6.988561158185597,0.392136,0.24649842711661932,0.18831125007903002,0.14138593575227404,0.04692531432675598
NOR,Norway,High income,99.0,11.371194069156742,0.99,0.6223183865940723,0.4361193284403829,0.4200107508274783,0.01610857761290463
OMN,Oman,High income,95.2517,9.917648180395993,0.952517,0.5987564067105313,0.4167443566191834,0.40254240695083765,0.014201949668345759
PAK,Pakistan,Lower middle income,27.3759,7.298967819927931,0.27375900000000003,0.1720861203996027,0.2277932986278841,0.08621825592181523,0.14157504270606888
PNG,Papua New Guinea,Lower middle income,24.0667,8.008600288203386,0.24066700000000002,0.1512843425721572,0.05829655111505868,0.07079626633811617,-0.01249971522305749
PRY,Paraguay,Upper middle income,81.5781,8.76656528186771,0.8157810000000001,0.5128035512465646,0.2927782895544456,0.33881881309985634,-0.046040523545410716
PER,Peru,Upper middle income,81.9571,9.042202352043388,0.8195709999999999,0.5151859620396873,0.31455050475221047,0.34058508109581354,-0.026034576343603066
PHL,Philippines,Lower middle income,83.7661,8.29025031649527,0.837661,0.5265574161947244,0.3248145555218778,0.3490156320316626,-0.024201076509784758
POL,Poland,High income,88.585,10.130765173254584,0.8858499999999999,0.5568492351155141,0.40202636065016395,0.37147333347155365,0.030553027178610304
PRT,Portugal,High income,88.487,10.285077985364373,0.8848699999999999,0.5562332027732291,0.39943804156064167,0.3710166203749737,0.028421421185667983
PRI,Puerto Rico (US),High income,87.2918,10.58009153247613,0.872918,0.5487201226150752,0.477535999075322,0.3654465847317859,0.11208941434353614
QAT,Qatar,High income,99.6528,11.24750957328727,0.996528,0.6264219163190078,0.38193369794700943,0.42305301929122746,-0.04111932134421803
ROU,Romania,High income,91.2905,9.907490013071868,0.912905,0.5738561279935975,0.37646266006313467,0.38408187717356557,-0.007619217110430898
RUS,Russian Federation,High income,94.365,9.62543291504997,0.94365,0.5931825712217135,0.37618988507692247,0.39841008549433277,-0.022220200417410296
RWA,Rwanda,Low income,34.2005,6.907409780960036,0.342005,0.21498585839101586,0.16442250348045856,0.11802319672711942,0.04639930675333914
SAU,Saudi Arabia,High income,100.0,10.466573394827881,1.0,0.6286044309031034,0.40957082343891704,0.4246710885476823,-0.015100265108765276
SEN,Senegal,Lower middle income,60.6122,7.48055142271077,0.606122,0.38101097486785085,0.1860211272787766,0.24111063849183134,-0.05508951121305475
SRB,Serbia,Upper middle income,87.6907,9.523632192298418,0.8769070000000001,0.5512276256899478,0.42223663848631005,0.3673055934483753,0.05493104503793472
SLE,Sierra Leone,Low income,20.635,6.692895634195301,0.20635,0.12971252431685537,0.049139389464456194,0.054803385383692095,-0.005663995919235901
SGP,Singapore,High income,94.3776,11.41502667055115,0.9437760000000001,0.5932617753800074,0.46631828322565066,0.3984688057496074,0.06784947747604325
SVK,Slovak Republic,High income,89.8251,10.165570040777842,0.898251,0.5646445586631436,0.4671978599943618,0.3772526182783787,0.08994524171598312
SOM,"Somalia, Fed. Rep.",Low income,27.6,6.44498764577539,0.276,0.17349482292925655,0.05697821006810574,0.08726263760491296,-0.03028442753680722
ZAF,South Africa,Upper middle income,75.6592,8.743082858954319,0.7565919999999999,0.47559708358584074,0.36049116830381583,0.31123474016774083,0.049256428136075
SSD,South Sudan,Low income,9.27123,6.912299147619266,0.0927123,0.058279362579217786,0.009347540388792354,0.001844379408969525,0.007503160979822829
ESP,Spain,High income,95.7575,10.472396264528529,0.957575,0.6019358879220392,0.42124783838925584,0.40489960576971684,0.016348232619538994
