iso3,pizzinelli_employment_weighted,coverage,n_isco_covered,ilostat_year,atlas_ai_mat_mean,country_name,income_level,atlas_pred_from_mech,residual
NPL,-0.5483757688185921,0.9970452004040308,9.0,2017.0,0.12289195084321966,Nepal,Lower middle income,0.1843957215309565,-0.06150377068773685
PAK,-0.5711528946154876,1.0,9.0,2021.0,0.22950470819811672,Pakistan,Lower middle income,0.1739721845985624,0.05553252359955432
PER,-0.5212412965837486,0.9933439129677895,9.0,2025.0,0.31600787359685056,Peru,Upper middle income,0.19681331872925908,0.11919455486759148
PHL,-0.4910997884570946,0.9980327457292111,9.0,2023.0,0.32819066872373254,Philippines,Lower middle income,0.21060703115627033,0.11758363756746221
PNG,-0.43932361411871834,0.9980092151612654,9.0,2022.0,0.05984997606000957,Papua New Guinea,Lower middle income,0.23430145468655186,-0.17445147862654228
POL,-0.04822139293517274,0.9911260360127825,9.0,2024.0,0.4051609470603884,Poland,High income,0.4132822656633134,-0.008121318602924976
PRI,-0.02179782589724116,0.9993985988032213,9.0,2020.0,0.48135340745863703,Puerto Rico (US),High income,0.42537453004124526,0.05597887741739177
PRT,-0.06928463643223007,0.9956690306176268,9.0,2025.0,0.40032983986806403,Portugal,High income,0.4036430557618818,-0.003313215893817778
PRY,-0.43261951819522565,0.9972309909253733,9.0,2025.0,0.2949938820024472,Paraguay,Upper middle income,0.23736946212875354,0.057624419873693655
ROU,-0.333450122085249,0.9942042479261686,9.0,2024.0,0.37830504867798054,Romania,High income,0.2827525307447445,0.09555251793323605
RUS,-0.08324967638638109,1.0,9.0,2024.0,0.3773544748323933,Russian Federation,High income,0.39725220947941126,-0.01989773464701794
RWA,-0.7241767234754326,1.0,9.0,2024.0,0.1680587327765069,Rwanda,Low income,0.10394361532774588,0.06411511744876103
SDN,-0.5658327007470348,0.967509378552091,9.0,2022.0,0.07017077193169123,Sudan,Low income,0.1764068744610942,-0.10623610252940298
SEN,-0.5814958871690279,0.9781563866555519,9.0,2024.0,0.18742352503058998,Senegal,Lower middle income,0.16923890236468198,0.018184622665908007
SGP,0.24332436904839358,0.9999999999999999,9.0,2024.0,0.46748962434819624,Singapore,High income,0.5467028756479543,-0.07921325129975804
SLE,-0.5279993036521574,0.9947554158670202,9.0,2018.0,0.05027397989040804,Sierra Leone,Low income,0.19372063983311227,-0.14344665994270422
SLV,-0.5062710305341805,0.9937526425343716,9.0,2024.0,0.29520668191732724,El Salvador,Upper middle income,0.2036641884327889,0.09154249348453833
SOM,-0.3363250831153462,0.9769678557504121,9.0,2019.0,0.058785976485609404,"Somalia, Fed. Rep.",Low income,0.28143685717189637,-0.22265088068628697
SRB,-0.21767351506207036,0.994753626170147,9.0,2024.0,0.4262382295047082,Serbia,Upper middle income,0.33573558707829965,0.09050264242640854
SWE,0.12649508361477643,0.9963652599306596,9.0,2024.0,0.4473712217965092,Sweden,High income,0.4932380802053042,-0.04586685840879501
TCD,-0.5496091863859971,0.9898545504229341,9.0,2022.0,0.034633186146725545,Chad,Low income,0.18383127043727804,-0.14919808429055248
TGO,-0.5198643363582768,0.9966065578596456,9.0,2022.0,0.09852636058945577,Togo,Low income,0.1974434595070125,-0.09891709891755673
THA,-0.4802799107921512,0.998337176276877,9.0,2024.0,0.36277065489173804,Thailand,Upper middle income,0.21555855117904232,0.14721210371269572
TJK,-0.5336156909548873,0.9967553278664987,9.0,2016.0,0.1356599457360217,Tajikistan,Lower middle income,0.19115040243798784,-0.055490456701966145
TUN,-0.4989609962964313,1.0,9.0,2021.0,0.32962706814917275,Tunisia,Lower middle income,0.2070094925125789,0.12261757563659384
TZA,-0.7025369092714485,0.999723021430202,9.0,2024.0,0.10836835665265734,Tanzania,Lower middle income,0.11384668231594858,-0.005478325663291234
UGA,-0.5693502819775546,0.9972818506209854,9.0,2021.0,0.0981539607384157,Uganda,Low income,0.17479711745329757,-0.07664315671488187
VNM,-0.618498804494491,0.9942578908972477,9.0,2024.0,0.331435867425653,Viet Nam,Lower middle income,0.1523051909391226,0.17913067648653042
ZMB,-0.5343032599420051,0.9963873527021423,9.0,2024.0,0.12502660140455416,Zambia,Lower middle income,0.19083574900916195,-0.06580914760460779
ZWE,-0.5438173590279306,0.9986477567609121,9.0,2024.0,0.15959993616002555,Zimbabwe,Lower middle income,0.18648179477960247,-0.026881858619576926
