support,domain,iso3,country_name,income_level,margin,total_gap_pp,reference_profile_pp,country_specific_pp,identity_error_pp
Figure 5 sex-specific support,Industry (ISIC-2),KEN,Kenya,Lower middle income,Substitution-only,1.1730160580842341,1.4798130902278115,-0.30679703214357734,0
Figure 5 sex-specific support,Industry (ISIC-2),KGZ,Kyrgyz Republic,Lower middle income,Augmentation-only,-0.8776918408789225,-1.0169969728452402,0.1393051319663168,8.604228440844963e-16
Figure 5 sex-specific support,Industry (ISIC-2),KGZ,Kyrgyz Republic,Lower middle income,Overall exposure,2.870462875656964,0.914246886455839,1.9562159892011302,-4.884981308350689e-15
Figure 5 sex-specific support,Industry (ISIC-2),KGZ,Kyrgyz Republic,Lower middle income,Substitution-only,1.6907890017895628,0.976022896324207,0.7147661054653568,-9.992007221626409e-16
Figure 5 sex-specific support,Industry (ISIC-2),KHM,Cambodia,Lower middle income,Augmentation-only,-0.38709307981911417,-0.7993866773943215,0.4122935975752073,0
Figure 5 sex-specific support,Industry (ISIC-2),KHM,Cambodia,Lower middle income,Overall exposure,3.975251434823884,5.3389072334829875,-1.3636557986591042,8.881784197001252e-16
Figure 5 sex-specific support,Industry (ISIC-2),KHM,Cambodia,Lower middle income,Substitution-only,3.9509367224839167,5.87992269973574,-1.9289859772518247,1.3322676295501878e-15
Figure 5 sex-specific support,Industry (ISIC-2),KOR,"Korea, Rep.",High income,Augmentation-only,-1.0365568576846933,-0.7375993762259125,-0.2989574814587816,8.326672684688674e-16
Figure 5 sex-specific support,Industry (ISIC-2),KOR,"Korea, Rep.",High income,Overall exposure,-4.247020005509547,-4.259775780945664,0.012755775436123995,-6.6058269965196814e-15
Figure 5 sex-specific support,Industry (ISIC-2),KOR,"Korea, Rep.",High income,Substitution-only,-2.778443534707392,-2.753581127310933,-0.024862407396456482,-2.4702462297909733e-15
Figure 5 sex-specific support,Industry (ISIC-2),LKA,Sri Lanka,Lower middle income,Augmentation-only,-0.7747474460413524,-0.6359042292930309,-0.13884321674832142,-2.7755575615628914e-17
Figure 5 sex-specific support,Industry (ISIC-2),LKA,Sri Lanka,Lower middle income,Overall exposure,4.280670132182845,1.5791363417337656,2.701533790449073,6.217248937900877e-15
Figure 5 sex-specific support,Industry (ISIC-2),LKA,Sri Lanka,Lower middle income,Substitution-only,3.874968552405806,2.533539556122048,1.3414289962837582,-4.440892098500626e-16
Figure 5 sex-specific support,Industry (ISIC-2),MDG,Madagascar,Low income,Augmentation-only,-0.033306635010077495,-0.5556983057018285,0.522391670691751,1.1102230246251565e-16
Figure 5 sex-specific support,Industry (ISIC-2),MDG,Madagascar,Low income,Overall exposure,1.1548427969972486,0.9653152597280299,0.1895275372692178,8.604228440844963e-16
Figure 5 sex-specific support,Industry (ISIC-2),MDG,Madagascar,Low income,Substitution-only,1.2984104829621141,1.5742435418828766,-0.2758330589207634,8.881784197001252e-16
Figure 5 sex-specific support,Industry (ISIC-2),MEX,Mexico,Upper middle income,Augmentation-only,-1.037554415960229,-0.7945135704691174,-0.24304084549111113,-4.718447854656915e-16
Figure 5 sex-specific support,Industry (ISIC-2),MEX,Mexico,Upper middle income,Overall exposure,0.6622372396595101,0.2511283590785659,0.41110888058094297,1.2212453270876722e-15
Figure 5 sex-specific support,Industry (ISIC-2),MEX,Mexico,Upper middle income,Substitution-only,0.7821937017351682,1.0186195949894286,-0.23642589325425914,-1.1934897514720433e-15
Figure 5 sex-specific support,Industry (ISIC-2),MMR,Myanmar,Lower middle income,Augmentation-only,-0.1145331190811468,-0.8740705218382131,0.7595374027570663,0
Figure 5 sex-specific support,Industry (ISIC-2),MMR,Myanmar,Lower middle income,Overall exposure,4.584567595128382,4.146017545653642,0.43855004947473947,6.106226635438361e-16
Figure 5 sex-specific support,Industry (ISIC-2),MMR,Myanmar,Lower middle income,Substitution-only,3.7495362943208095,4.585906969361777,-0.8363706750409662,-1.4432899320127035e-15
Figure 5 sex-specific support,Industry (ISIC-2),MWI,Malawi,Low income,Augmentation-only,0.04744263968174094,-0.2619172222757372,0.309359861957478,1.6653345369377348e-16
Figure 5 sex-specific support,Industry (ISIC-2),MWI,Malawi,Low income,Overall exposure,-0.6019185589518071,0.609358396731284,-1.2112769556830907,-4.440892098500626e-16
Figure 5 sex-specific support,Industry (ISIC-2),MWI,Malawi,Low income,Substitution-only,-0.10157594174589737,0.7138104747503666,-0.8153864164962645,5.551115123125783e-16
Figure 5 sex-specific support,Industry (ISIC-2),NGA,Nigeria,Lower middle income,Augmentation-only,-0.5552717138097527,-0.8666400237928895,0.31136830998313714,-3.3306690738754696e-16
Figure 5 sex-specific support,Industry (ISIC-2),NGA,Nigeria,Lower middle income,Overall exposure,2.9911709054012463,2.863674385967442,0.12749651943379986,4.385380947269368e-15
Figure 5 sex-specific support,Industry (ISIC-2),NGA,Nigeria,Lower middle income,Substitution-only,2.7950271172558665,4.365316720147827,-1.5702896028919546,-5.551115123125783e-15
Figure 5 sex-specific support,Industry (ISIC-2),NLD,Netherlands,High income,Augmentation-only,-0.9350134023719036,-0.7361151803639657,-0.19889822200793836,5.273559366969494e-16
Figure 5 sex-specific support,Industry (ISIC-2),NLD,Netherlands,High income,Overall exposure,-10.557647111558696,-7.919841386472124,-2.6378057250865825,1.1102230246251565e-14
Figure 5 sex-specific support,Industry (ISIC-2),NLD,Netherlands,High income,Substitution-only,-5.243049960140912,-4.312650595775943,-0.9303993643649726,3.774758283725532e-15
Figure 5 sex-specific support,Industry (ISIC-2),PAK,Pakistan,Lower middle income,Augmentation-only,1.2423461302858783,-0.1942019515148071,1.4365480818006853,0
Figure 5 sex-specific support,Industry (ISIC-2),PAK,Pakistan,Lower middle income,Overall exposure,0.2105556366509371,-1.3989844702809964,1.6095401069319362,-2.6645352591003757e-15
Figure 5 sex-specific support,Industry (ISIC-2),PAK,Pakistan,Lower middle income,Substitution-only,-1.8278960389757075,-1.7828495102118447,-0.04504652876386281,-2.7755575615628914e-17
Figure 5 sex-specific support,Industry (ISIC-2),PER,Peru,Upper middle income,Augmentation-only,-1.2496798617839529,-1.0159242720778885,-0.23375558970606533,9.71445146547012e-16
Figure 5 sex-specific support,Industry (ISIC-2),PER,Peru,Upper middle income,Overall exposure,1.4912218639192618,0.9367453762618014,0.5544764876574595,8.881784197001252e-16
Figure 5 sex-specific support,Industry (ISIC-2),PER,Peru,Upper middle income,Substitution-only,1.4288972412647427,1.7526550848522564,-0.3237578435875135,-1.6653345369377348e-16
Figure 5 sex-specific support,Industry (ISIC-2),PHL,Philippines,Lower middle income,Augmentation-only,-0.9227913146592065,-1.108669589538602,0.18587827487939518,3.885780586188048e-16
Figure 5 sex-specific support,Industry (ISIC-2),PHL,Philippines,Lower middle income,Overall exposure,6.471788721034586,4.466380023631533,2.005408697403049,3.552713678800501e-15
Figure 5 sex-specific support,Industry (ISIC-2),PHL,Philippines,Lower middle income,Substitution-only,3.2127206969734754,3.7480499593576897,-0.5353292623842151,7.771561172376096e-16
Figure 5 sex-specific support,Industry (ISIC-2),POL,Poland,High income,Augmentation-only,-1.0279273647164269,-0.9217623181775284,-0.10616504653889805,-4.163336342344337e-16
Figure 5 sex-specific support,Industry (ISIC-2),POL,Poland,High income,Overall exposure,-1.8259151290119378,-0.20729236015034772,-1.6186227688615944,4.440892098500626e-15
