support,domain,income_level,margin,countries,mean_total_gap_pp,mean_reference_profile_pp,mean_country_specific_pp,median_total_gap_pp,median_reference_profile_pp,median_country_specific_pp,share_reference_same_sign_as_total,share_country_specific_offsets_reference,total_ci_low,reference_profile_ci_low,country_specific_ci_low,total_ci_high,reference_profile_ci_high,country_specific_ci_high,additive_mean_error_pp
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Low income,Overall exposure,4,0.8389570995742464,1.6682893496085256,-0.8293322500342795,0.3889948656101366,0.40549021534394447,-0.31537983657859925,1,0.25,-0.48938581236439127,-0.17400597578579147,-2.195038126736271,2.290604653077146,4.487649845924276,0.022421213212031832,2.220446049250313e-16
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Low income,Substitution-only,4,1.0494097210107123,2.4501527043405225,-1.4007429833298102,0.5984172706081083,1.1802267713464971,-1.0478295307033676,0.5,1,-0.37211990528341815,0.6482044617924244,-2.6749378382880407,2.7072071732992042,5.522026879882646,-0.3020457641475909,0
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Lower middle income,Augmentation-only,21,-0.4361251599020303,-0.6052468921663788,0.1691217322643485,-0.5394393597867545,-0.7021168599193506,0.0665460001881734,0.9047619047619048,0.5238095238095238,-0.7611654337677337,-0.8013269359282946,-0.07264847905073517,-0.12795451444485206,-0.3940333786485635,0.41792270168155804,0
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Lower middle income,Overall exposure,21,1.952766398643442,0.9103122343472649,1.0424541642961782,1.8512941949681234,0.7638404837788239,0.9211461775202578,0.7619047619047619,0.7619047619047619,0.5543464676385954,-0.6950301868169162,0.23641909225908284,3.387514137688371,2.462396604970913,1.9252586525615325,-1.1102230246251565e-15
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Lower middle income,Substitution-only,21,1.5868853303696,1.3028071521629765,0.28407817820662445,1.6529398606383543,1.9529103454974002,0.16902100847086082,0.9523809523809523,0.6666666666666666,0.5731913702670047,-0.05068292880569064,-0.25583249473104164,2.5751926031816765,2.6269367967114885,0.8144238942713841,-9.43689570931383e-16
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Upper middle income,Augmentation-only,16,-1.0764936629947695,-0.6956468971448518,-0.38084676584991767,-1.086939490935929,-0.7732976394579258,-0.36729616684538513,0.9375,0.125,-1.3095656489874559,-0.7986898669529934,-0.6088778618073816,-0.8195320268778162,-0.5757292258380675,-0.17521526476927782,5.551115123125783e-17
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Upper middle income,Overall exposure,16,0.48851577194731566,0.9381966415373744,-0.44968086959005954,0.2374845606159871,0.823429542504314,-0.3853805844095408,0.8125,0.5,-0.60875505094284,0.013775141914730837,-0.9110755019691191,1.7093214627570532,1.9240159472931322,-0.02185457905454872,8.326672684688674e-16
Figure 5 support; employment-weighted reference,Industry (ISIC-2),Upper middle income,Substitution-only,16,0.9922130905465908,1.065298016675824,-0.07308492612923281,0.997960958840395,1.1661344502275748,0.048217479753811174,0.875,0.5,0.010223230686040412,0.17077817201416723,-0.5650139383117748,1.9755472425616305,2.0463023159594957,0.3602680521072656,-3.0531133177191805e-16
Figure 5 support; employment-weighted reference,Industry (ISIC-2),High income,Augmentation-only,31,-0.8930885611300783,-0.652380192173552,-0.24070836895652623,-0.8776431675478632,-0.6293342129270229,-0.2004612588999198,0.967741935483871,0.22580645161290322,-1.0923440198707342,-0.7127416404196076,-0.4077223302950772,-0.7082257092419005,-0.5903356408687771,-0.0824991554151285,-2.7755575615628914e-17
Figure 5 support; employment-weighted reference,Industry (ISIC-2),High income,Overall exposure,31,-4.449637772843186,-2.941583800711999,-1.5080539721311865,-4.921066497606264,-2.9752986489684,-1.5307743632722564,0.9032258064516129,0.22580645161290322,-5.657503369027467,-3.8989973164177893,-1.9044289721303544,-3.26382688675959,-1.9702172941847123,-1.13122112509271,-4.440892098500626e-16
Figure 5 support; employment-weighted reference,Industry (ISIC-2),High income,Substitution-only,31,-2.5902837520700404,-1.8728387151398096,-0.7174450369302305,-3.024624316166136,-2.1140017075986806,-0.765106595528175,1,0.22580645161290322,-3.2909185066371807,-2.4872735704235156,-0.9292929778649766,-1.8170978035074172,-1.1836055281566509,-0.4858552284860638,-2.220446049250313e-16
