iso3,country_name,income_level,AI_PI,DI,HCLMP,IEI,RE,ai_material_share,llm_like_share,mean_exposure,aipi_predicted_atlas,residual
NLD,Netherlands,High income,0.76649311184883,0.19096231460571,0.16897539794445,0.18216648697853,0.22438891232014,0.4496701425835284,0.25446903596509896,1.5949138114492445,0.5155756793241176,-0.06590553674058924
NOR,Norway,High income,0.70576101541519,0.17248716950417,0.16694670915604,0.15901318192482,0.20731395483017,0.43661222535510985,0.2556258977496409,1.575517369793052,0.46631664738421147,-0.029704422029101618
NPL,Nepal,Lower middle income,0.35097929090261,0.07811925560236,0.10192608088255,0.08523178845644,0.085702165961266,0.12289195084321966,0.14459754216098314,0.7677288929084428,0.17855769741027372,-0.05566574656705406
NZL,New Zealand,High income,0.75367978215218,0.19386158883572,0.18136605620384,0.15871722996235,0.21973490715027,0.4144278342288663,0.256104697558121,1.5024737990104804,0.5051829503743852,-0.0907551161455189
OMN,Oman,High income,0.53277696669102,0.11640864610672,0.15812475979328,0.12507177889347,0.13317178189754,0.4202798318880672,0.2638186944725222,1.4239506304197478,0.3260114828735672,0.09426834901450004
PAK,Pakistan,Lower middle income,0.36863802373409,0.077373526990414,0.10106925666332,0.085143156349659,0.1050520837307,0.22950470819811672,0.19604192158323136,1.086556365377454,0.19288047129170238,0.03662423690641434
PER,Peru,Upper middle income,0.49113307148218,0.1119104847312,0.1236862167716,0.12366377562284,0.13187259435654,0.31600787359685056,0.23078150768739691,1.2905250837899664,0.29223464847043096,0.023773225126419606
PHL,Philippines,Lower middle income,0.49848566204309,0.10192369669676,0.15158447623253,0.12094224989414,0.12403523921967,0.32819066872373254,0.23280310687875724,1.3103686758525297,0.29819824127471795,0.02999242744901459
PNG,Papua New Guinea,Lower middle income,0.29010296240449,0.046358875930309,0.053996447473764,0.10327257961035,0.086475059390068,0.05984997606000957,0.08772676490929404,0.4883758046496781,0.12918168067504204,-0.06933170461503246
POL,Poland,High income,0.59688468277454,0.16549704968929,0.14379578828812,0.14140242338181,0.14618942141533,0.4051609470603884,0.2499068901303538,1.4909284384144719,0.3780084370311281,0.027152510029260335
PRI,Puerto Rico (US),High income,,0.079394944012165,0.13915640115738,,0.14095123112202,0.48135340745863703,0.28451348619460554,1.530935787625685,,
PRT,Portugal,High income,0.64601981639862,0.15507057309151,0.15130364894867,0.16398896276951,0.17565663158894,0.40032983986806403,0.2505718997712401,1.4907698036920785,0.4178613197519601,-0.017531479883896084
PRY,Paraguay,Upper middle income,0.40975987911224,0.097160130739212,0.10664923489094,0.097998440265656,0.10795207321644,0.2949938820024472,0.2362611054955578,1.2048199180720327,0.22623388581961723,0.06875999618282996
QAT,Qatar,High income,0.53459213674068,0.12675407528877,0.14447437226772,0.12900191545486,0.13436177372932,0.3842634462946215,0.23610150555939777,1.4385806245677502,0.32748374424281296,0.056779702051808545
ROU,Romania,High income,0.5836483091116,0.15375223755836,0.1329060792923,0.14638279378414,0.15060719847679,0.37830504867798054,0.2461563015374794,1.4392722242911102,0.36727258249424866,0.011032466183731882
RUS,Russian Federation,High income,0.55922330915928,0.15611711144447,0.16315215826035,0.12401229143143,0.11594174802303,0.3773544748323933,0.23890603384058742,1.474140683196765,0.3474617753027303,0.029892699529663003
RWA,Rwanda,Low income,0.43740021437407,0.083531677722931,0.10129887610674,0.11263725161552,0.13993240892887,0.1680587327765069,0.17401713039314784,0.8567324573070171,0.24865261063640182,-0.08059387785989491
SAU,Saudi Arabia,High income,0.57690300047398,0.14380052685738,0.17675940692425,0.1167853474617,0.13955771923065,0.4120557565439455,0.2459565865077676,1.5035645882102575,0.3618015483436639,0.05025420820028159
SDN,Sudan,Low income,0.23290671221912,0.052748907357454,0.070277847349644,0.079731129109859,0.030148828402162,0.07017077193169123,0.09400436239825503,0.5717933712826515,0.08279052871139257,-0.012619756779701341
SEN,Senegal,Lower middle income,0.39596802741289,0.080233298242092,0.10097125172615,0.090449944138527,0.12431353330612,0.18742352503058998,0.1732191307123477,0.8927488429004629,0.21504749010362112,-0.027623965073031137
SGP,Singapore,High income,0.80056671798229,0.20861737430096,0.19519950449467,0.18053269386292,0.21621714532375,0.46748962434819624,0.26332872193253165,1.6244014047036288,0.5432123484232958,-0.07572272407509956
SLE,Sierra Leone,Low income,0.29781290516257,0.045900296419859,0.080714195966721,0.090771771967411,0.080426640808582,0.05027397989040804,0.08767356493057403,0.45400861839655265,0.13543511730702273,-0.08516113741661469
SLV,El Salvador,Upper middle income,0.38972074538469,0.084077037870884,0.10380543768406,0.10700375586748,0.094834513962269,0.29520668191732724,0.23328190668723733,1.199233920306432,0.20998039900952464,0.0852262829078026
SOM,"Somalia, Fed. Rep.",Low income,,0.040855787694454,,0.125,0.033615246415138,0.058785976485609404,0.08676916529233389,0.46156301537479383,,
SRB,Serbia,Upper middle income,0.53747471421957,0.14890213310719,0.13631983101368,0.10888906568289,0.14336368441582,0.4262382295047082,0.2710538915784434,1.43709102516359,0.329821766218673,0.0964164632860352
SSD,South Sudan,Low income,,0.015532669611275,0.036337614059448,,0.0074358223937452,0.0100015959993616,0.027344789062084374,0.17673032930786828,,
SVK,Slovak Republic,High income,0.59162250161171,0.16607758402824,0.14577409625053,0.13627831637859,0.14349250495434,0.47018141192743523,0.27866148853540457,1.5263605894557641,0.37374034873523587,0.09644106319219936
SWE,Sweden,High income,0.74779990315437,0.18255545198917,0.17112943530083,0.18375873565674,0.21035628020763,0.4473712217965092,0.25798212005108556,1.593444018731375,0.5004138552111319,-0.05304263341462273
SYR,Syrian Arab Republic,Low income,0.29814901389182,0.065049670636654,0.13206587731838,0.080602675676346,0.020430790260434,0.0568707772516891,0.08230036707985317,0.5622173751130499,0.13570773082774157,-0.07883695357605247
TCD,Chad,Low income,0.23360607214272,0.030288415029645,0.074399076402187,0.076035723090172,0.052882857620716,0.034633186146725545,0.06235037505984998,0.3683034526786189,0.0833577706614831,-0.04872458451475756
TGO,Togo,Low income,0.31568638980389,0.063108757138252,0.078686192631721,0.082975745201111,0.090915694832802,0.09852636058945577,0.1307123477150609,0.6860669255732298,0.14993207365342892,-0.05140571306397315
THA,Thailand,Upper middle income,0.53571709990501,0.14086797833443,0.13699355721474,0.123983502388,0.13387206196785,0.36277065489173804,0.23727190509123797,1.406767037293185,0.3283961875750385,0.03437446731669952
TJK,Tajikistan,Lower middle income,0.36644598096609,0.064995378255844,0.13889667391777,0.088302567601204,0.074251361191273,0.1356599457360217,0.15640793743682502,0.8690748523700591,0.1911025332480102,-0.055442587511988495
TUN,Tunisia,Lower middle income,0.46540968865156,0.10872808843851,0.13190059363842,0.10275694727898,0.12202405929565,0.32962706814917275,0.23897430441027823,1.2486567005373197,0.2713707394196299,0.05825632872954284
TUR,Turkiye,Upper middle income,0.5401873588562,0.14132933318615,0.13902553915977,0.12593871355057,0.13389377295971,0.38501649462594445,0.2458763435138874,1.4485474087474726,0.33202195782482596,0.052994536801118486
TZA,Tanzania,Lower middle income,0.3524204865098,0.063975043594837,0.093435727059841,0.10144794732332,0.093561768531799,0.10836835665265734,0.1318827472469011,0.7423525030589988,0.17972663285981477,-0.07135827620715743
UGA,Uganda,Low income,0.35393466055393,0.062899269163609,0.093090675771236,0.10785694420338,0.09008777141571,0.0981539607384157,0.12539234984306005,0.6864393254242698,0.1809547601925156,-0.0828007994540999
UKR,Ukraine,Upper middle income,0.51248306035995,0.14373734593391,0.14591871201992,0.099755093455315,0.12307190895081,0.35213065914773634,0.2387615044953982,1.3821354471458211,0.30955135324112576,0.042579305906610576
USA,United States,High income,0.77126908302307,0.1878224760294,0.18329772353172,0.18247638642788,0.21767249703407,0.4595946161621535,0.27041549183380326,1.6021173591530564,0.5194494088745707,-0.05985479271241717
UZB,Uzbekistan,Lower middle income,,0.10700166970491,0.13032296299934,,0.10466928035021,0.22216311113475554,0.18705112517954992,1.131882747246901,,
VEN,"Venezuela, RB",Not classified,0.27458252198994,0.070552937686443,0.1137428060174,0.068201653659344,0.022085124626756,0.21354471458211416,0.1848699260520296,1.1127307549076981,0.11659324861034133,0.09695146597177283
VNM,Viet Nam,Lower middle income,0.4818687364459,0.14108048379421,0.12063619494438,0.11066352576017,0.10948853194714,0.331435867425653,0.22785550885779646,1.337873064850774,0.2847204640069858,0.0467154034186672
YEM,"Yemen, Rep.",Low income,0.2533275578171,0.039775099605322,0.07403589040041,0.12013222277164,0.019384345039725,0.05463637814544874,0.08272596690961323,0.5201361919455232,0.0993536171707201,-0.04471723902527135
ZAF,South Africa,Upper middle income,0.49676514416933,0.12399415671825,0.11991155147552,0.11019236594439,0.14266707003117,0.36213225514709796,0.24285790285683886,1.4116082353567059,0.2968027510829817,0.06532950406411625
ZMB,Zambia,Lower middle income,0.37071997672319,0.065099440515041,0.11082933843136,0.10277891904116,0.092012278735638,0.12502660140455416,0.14253032560119175,0.811502447329219,0.19456911691419493,-0.06954251550964077
ZWE,Zimbabwe,Lower middle income,0.30479108914733,0.063585557043552,0.09445983171463,0.091692417860031,0.055053282529116,0.15959993616002555,0.16284513486194604,0.8637016545193382,0.14109503369346643,0.018504902466559114
