spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,mean_abs_shap_ci,direction_flag,mean_abs_shap_share
main68,augmentation_share,barro_lee_years_schooling_15_64,0.0010970055915422287,6.157929084305033e-05,4.8792579257905915e-06,0.0006923200786539358,0.0026380041313837895,0.0002132480474574508,1.0,0.0,0.00012069541005237864,positive,0.07876987196747474
main68,augmentation_share,goods_trade_openness,0.00038927607148036083,5.3571186176889524e-05,-1.4006939018398332e-06,9.88035757661845e-05,0.0013571395824977389,0.00014913200884637725,1.0,0.0,0.00010499952490670346,positive,0.027951750243498375
main68,augmentation_share,gross_fixed_capital_formation_pct_gdp,0.0005602995215463426,7.072625005127107e-05,8.603525864556675e-06,-0.00027503589725243335,-0.001795704251982953,0.00020269808984436628,0.0,1.0,0.0001386234501004913,negative,0.04023199326960205
main68,augmentation_share,internet_users_pct,0.0017894841836052506,8.811690292346399e-05,0.00029534349622202256,0.001077922124336312,0.005632872775897526,0.000588859229458618,1.0,0.0,0.00017270912972998942,positive,0.12849290934993432
main68,augmentation_share,log_gdp_per_capita,0.003012458084821548,9.388412728557115e-05,-0.00021207779583381556,0.0005752491153898986,0.012605260889500942,0.0004074160132258365,1.0,0.0,0.00018401288947971945,positive,0.2163078652271784
main68,augmentation_share,pwt_human_capital_index,0.0011554876792798136,6.618921726858684e-05,0.00010885177522240921,0.0007095063469710202,0.004938222625053667,0.0003249771111512957,1.0,0.0,0.00012973086584643022,positive,0.08296914551630319
main68,augmentation_share,pwt_log_real_capital_stock_per_worker,0.002460036836181151,6.0147400014328477e-05,-0.00010259709527653871,-0.0009164748306602583,0.005751275823710552,0.00030718125045909385,1.0,0.0,0.00011788890402808382,positive,0.17664156693024619
main68,augmentation_share,wgi_government_effectiveness_score,0.0012179487180255441,0.00011216795420322381,6.703229931050394e-05,0.00047952041690868557,0.004458583967723117,0.00047158731310878514,1.0,0.0,0.00021984919023831866,positive,0.08745412541329699
main68,augmentation_share,wgi_regulatory_quality_score,0.0022447187459764878,0.0001030471038454574,-0.000122311613108106,0.00017806487553796358,0.006625836867162413,0.0003236832515581821,1.0,0.0,0.0002019723235370965,positive,0.1611807720824657
main68,substitution_within_exposed,barro_lee_years_schooling_15_64,0.001303242872733317,0.00012402556490712403,-4.805873769419983e-06,0.0004695504985810238,0.004286988107532206,0.0008401101497511045,1.0,0.0,0.00024309010721796308,positive,0.07274090799541144
