spec,outcome,variable,permutation_importance_mean,permutation_importance_sd,baseline_r2_mean,baseline_r2_sd,permutation_importance_ci,permutation_importance_share_positive,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,direction_flag
main68,augmentation_within_exposed,goods_trade_openness,0.0283979741214289,0.006188782136507791,0.7239803635154282,0.0,0.01213001298755527,0.02722311939482294,0.0027048459988754186,0.000335504207457871,1.0,0.0,positive
lean90,share_exposed,log_gdp_per_capita,0.22250529753529466,0.02284953735318727,0.9458992854426217,0.0,0.04478509321224705,0.385485795670425,0.13720904320639343,0.0026504560954665334,1.0,0.0,positive
lean90,share_exposed,barro_lee_years_schooling_15_64,0.0538888161654661,0.006186442816208991,0.9458992854426217,0.0,0.012125427919769623,0.09336125210226424,0.0665244644667053,0.0028759594419431995,1.0,0.0,positive
lean90,share_exposed,wgi_government_effectiveness_score,0.07491456626076473,0.009288735083703205,0.9458992854426217,0.0,0.018205920764058282,0.12978792640995365,0.0762616180675421,0.0017503417840896303,1.0,0.0,positive
lean90,share_exposed,wgi_regulatory_quality_score,0.03792769457884712,0.005623911349256107,0.9458992854426217,0.0,0.01102286624454197,0.06570894124600594,0.046706219848591767,0.003204669287743704,1.0,0.0,positive
lean90,share_exposed,internet_users_pct,0.18569649147469827,0.018330248968345453,0.9458992854426217,0.0,0.035927287977957086,0.32171530548829075,0.10415108424722708,0.0029513955457006725,1.0,0.0,positive
lean90,share_exposed,goods_trade_openness,0.0022746472950377927,0.00032276183608435596,0.9458992854426217,0.0,0.0006326131987253377,0.0039407790830604155,0.0024282257216035183,0.0012417248104996841,1.0,0.0,positive
lean90,substitution_share,log_gdp_per_capita,0.19061972695271318,0.01927003553136562,0.9381210161829628,0.0,0.037769269641476616,0.33066366006690356,0.04526107215843159,0.000944141707485004,1.0,0.0,positive
lean90,substitution_share,barro_lee_years_schooling_15_64,0.06193687197937517,0.007137092690706736,0.9381210161829628,0.0,0.013988701673785202,0.10744046856638272,0.026202807896694647,0.0007651987945033917,1.0,0.0,positive
lean90,substitution_share,wgi_government_effectiveness_score,0.05074980052499031,0.007151960933938533,0.9381210161829628,0.0,0.014017843430519525,0.08803451278377623,0.02351286429648032,0.00052249918224402,1.0,0.0,positive
lean90,substitution_share,wgi_regulatory_quality_score,0.035573182284310924,0.005867617812382955,0.9381210161829628,0.0,0.01150053091227059,0.0617079818673508,0.014794399848873915,0.0009572027001814922,1.0,0.0,positive
lean90,substitution_share,internet_users_pct,0.2343588157631952,0.023414500456340078,0.9381210161829628,0.0,0.04589242089442655,0.40653685233966946,0.040711406634821694,0.0014273195207566381,1.0,0.0,positive
lean90,substitution_share,goods_trade_openness,0.003237792573710574,0.0009472486687251188,0.9381210161829628,0.0,0.0018566073907012328,0.005616524375917115,-0.00038370450080128034,0.000194167989900816,0.0,1.0,negative
lean90,both_share,log_gdp_per_capita,0.20753586948074712,0.021246392871794507,0.9454015238304043,0.0,0.04164293002871723,0.3560027733414023,0.07061748163919275,0.0011267723977164267,1.0,0.0,positive
lean90,both_share,barro_lee_years_schooling_15_64,0.05016400661567786,0.006149075283920404,0.9454015238304043,0.0,0.012052187556483991,0.08605030793847657,0.03367437701098695,0.0015796840661301051,1.0,0.0,positive
